# 005 marketing repos reviewer — scan stamps (UTC). Appended by scripts/marketing-repos-preflight.sh and agent 005.
2026-06-01T10:54:32Z UTC | 005 preflight | new=3 changed=0 untracked_issues=0 deploy_candidates=0

2026-06-01T10:54:44Z UTC | 005 preflight | new=3 changed=0 untracked_issues=0 deploy_candidates=0

2026-06-01T10:54:59Z UTC | 005 preflight | new=0 changed=0 untracked_issues=0 deploy_candidates=0

2026-06-01T10:58:00Z UTC | 005 agent | registered=3 (la-moca,wimpi,bosskebabypizzeria) deploy_triggered=pending feat_mkt=0

2026-06-01T11:02:00Z UTC | 005 agent | registered=3 deploy=https://github.com/satisfecho/pos/actions/runs/26750692550 feat_mkt=0 | note: la-moca CI ok; wimpi+bosskebab CI failed (no artifacts yet)
2026-06-01T11:37:12Z UTC | 005 preflight | new=0 changed=0 untracked_issues=0 deploy_candidates=0

2026-06-01T11:44:30Z UTC | 005 agent | registered=0 deploy=https://github.com/satisfecho/pos/actions/runs/26752666859 (wimpi, already live) feat_mkt=0 | note: 085_Bosskebabypizzeria CI still failing (TS in public-menu.service.ts), manifest deferred

2026-06-01T11:44:22Z UTC | 005 preflight | new=0 changed=0 untracked_issues=0 deploy_candidates=0

2026-06-01T11:50:13Z UTC | 005 preflight | new=0 changed=0 untracked_issues=0 deploy_candidates=0

2026-06-01T11:55:59Z UTC | 005 preflight | new=0 changed=0 untracked_issues=0 deploy_candidates=0

2026-06-01T12:01:46Z UTC | 005 preflight | new=0 changed=0 untracked_issues=0 deploy_candidates=0

2026-06-01T12:07:32Z UTC | 005 preflight | new=0 changed=0 untracked_issues=0 deploy_candidates=0

2026-06-01T12:13:20Z UTC | 005 preflight | new=0 changed=0 untracked_issues=0 deploy_candidates=0

2026-06-01T12:19:08Z UTC | 005 preflight | new=0 changed=0 untracked_issues=0 deploy_candidates=0

2026-06-01T12:24:57Z UTC | 005 preflight | new=0 changed=0 untracked_issues=0 deploy_candidates=0

2026-06-01T12:30:47Z UTC | 005 preflight | new=0 changed=0 untracked_issues=0 deploy_candidates=0

2026-06-01T12:36:36Z UTC | 005 preflight | new=0 changed=0 untracked_issues=0 deploy_candidates=0

2026-06-01T12:42:25Z UTC | 005 preflight | new=0 changed=0 untracked_issues=0 deploy_candidates=0

2026-06-01T12:48:17Z UTC | 005 preflight | new=0 changed=0 untracked_issues=0 deploy_candidates=0

2026-06-01T12:54:04Z UTC | 005 preflight | new=0 changed=0 untracked_issues=0 deploy_candidates=0

2026-06-01T12:59:51Z UTC | 005 preflight | new=0 changed=0 untracked_issues=0 deploy_candidates=0

2026-06-01T13:05:40Z UTC | 005 preflight | new=0 changed=0 untracked_issues=0 deploy_candidates=0

2026-06-01T13:11:29Z UTC | 005 preflight | new=0 changed=0 untracked_issues=0 deploy_candidates=0

2026-06-01T13:17:20Z UTC | 005 preflight | new=0 changed=0 untracked_issues=0 deploy_candidates=0

2026-06-01T13:23:07Z UTC | 005 preflight | new=0 changed=0 untracked_issues=0 deploy_candidates=0

2026-06-01T13:28:55Z UTC | 005 preflight | new=0 changed=0 untracked_issues=0 deploy_candidates=0

2026-06-01T13:34:49Z UTC | 005 preflight | new=0 changed=0 untracked_issues=0 deploy_candidates=0

2026-06-01T13:40:40Z UTC | 005 preflight | new=0 changed=0 untracked_issues=0 deploy_candidates=0

2026-06-01T13:46:31Z UTC | 005 preflight | new=0 changed=0 untracked_issues=0 deploy_candidates=0

2026-06-01T13:52:20Z UTC | 005 preflight | new=0 changed=0 untracked_issues=0 deploy_candidates=0

2026-06-01T13:58:06Z UTC | 005 preflight | new=0 changed=0 untracked_issues=0 deploy_candidates=0

2026-06-01T14:03:54Z UTC | 005 preflight | new=0 changed=0 untracked_issues=0 deploy_candidates=0

2026-06-01T14:09:40Z UTC | 005 preflight | new=0 changed=0 untracked_issues=0 deploy_candidates=0

2026-06-01T14:15:24Z UTC | 005 preflight | new=0 changed=0 untracked_issues=0 deploy_candidates=0

2026-06-01T14:21:16Z UTC | 005 preflight | new=0 changed=0 untracked_issues=0 deploy_candidates=0

2026-06-01T14:27:03Z UTC | 005 preflight | new=0 changed=0 untracked_issues=0 deploy_candidates=0

2026-06-01T14:32:48Z UTC | 005 preflight | new=0 changed=0 untracked_issues=0 deploy_candidates=0

2026-06-01T14:38:31Z UTC | 005 preflight | new=0 changed=0 untracked_issues=0 deploy_candidates=0

2026-06-01T14:44:16Z UTC | 005 preflight | new=0 changed=0 untracked_issues=0 deploy_candidates=0

2026-06-01T14:50:04Z UTC | 005 preflight | new=0 changed=0 untracked_issues=0 deploy_candidates=0

2026-06-01T14:55:50Z UTC | 005 preflight | new=0 changed=0 untracked_issues=0 deploy_candidates=0

2026-06-01T15:01:34Z UTC | 005 preflight | new=0 changed=0 untracked_issues=0 deploy_candidates=0

2026-06-01T15:07:19Z UTC | 005 preflight | new=0 changed=0 untracked_issues=0 deploy_candidates=0

2026-06-01T15:13:04Z UTC | 005 preflight | new=0 changed=0 untracked_issues=0 deploy_candidates=0

2026-06-01T15:18:51Z UTC | 005 preflight | new=0 changed=0 untracked_issues=0 deploy_candidates=0

2026-06-01T15:24:45Z UTC | 005 preflight | new=0 changed=0 untracked_issues=0 deploy_candidates=0

2026-06-01T15:30:31Z UTC | 005 preflight | new=0 changed=0 untracked_issues=0 deploy_candidates=0

2026-06-01T15:36:06Z UTC | 005 preflight | new=0 changed=1 untracked_issues=0 deploy_candidates=1

2026-06-01T15:38:00Z UTC | 005 agent | registered=0 deploy=https://github.com/satisfecho/pos/actions/runs/26765110266 (wimpi bundle update) feat_mkt=0 | note: 085_Bosskebabypizzeria CI still failing — manifest deferred per 3d4034f0

2026-06-01T15:40:38Z UTC | 005 preflight | new=0 changed=0 untracked_issues=0 deploy_candidates=0

2026-06-01T15:46:34Z UTC | 005 preflight | new=0 changed=0 untracked_issues=0 deploy_candidates=0

2026-06-01T15:52:21Z UTC | 005 preflight | new=0 changed=0 untracked_issues=0 deploy_candidates=0

2026-06-01T15:57:54Z UTC | 005 preflight | new=0 changed=1 untracked_issues=0 deploy_candidates=0

2026-06-01T15:59:20Z UTC | 005 agent | registered=1 (bosskebabypizzeria) deploy=https://github.com/satisfecho/pos/actions/runs/26766300832 feat_mkt=0 | note: 085 CI green; manifest was deferred until TS fix
2026-06-01T16:04:36Z UTC | 005 preflight | new=0 changed=0 untracked_issues=0 deploy_candidates=0

2026-06-01T16:10:24Z UTC | 005 preflight | new=0 changed=0 untracked_issues=0 deploy_candidates=0

2026-06-01T16:16:13Z UTC | 005 preflight | new=0 changed=0 untracked_issues=0 deploy_candidates=0

2026-06-01T16:22:27Z UTC | 005 preflight | new=0 changed=0 untracked_issues=0 deploy_candidates=0

2026-06-01T16:36:22Z UTC | 005 preflight | new=0 changed=0 untracked_issues=0 deploy_candidates=0

2026-06-01T16:49:37Z UTC | 005 preflight | new=0 changed=0 untracked_issues=0 deploy_candidates=0

2026-06-01T16:56:05Z UTC | 005 preflight | new=0 changed=0 untracked_issues=0 deploy_candidates=0

2026-06-01T17:09:00Z UTC | 005 agent | registered=0 deploy_triggered=0 feat_mkt=1 (FEAT-MKT-040-1 gustazo remove local-04) | note: no new repos, no bundle changes

2026-06-01T17:09:49Z UTC | 005 preflight | new=0 changed=0 untracked_issues=0 deploy_candidates=0

